player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Sofyan Amrabat,5234,9.199538212525427,1.1851851851851851,7.0,2.593996762830566,81,5,1,0.251295,2.1663184061045846,5.51,1.45,8.29,8.59,0.9993887967084195,0.188342892613798,4.977508784098336
Achraf Dari,139016,9.13485124674579,0.6521739130434783,9.5,1.7530662076952448,69,4,0,0.058789583333333346,0,5.08,1.45,10.0,0,0.9989187480463487,0.1110265997019364,0
Yassine Bounou,6785,0,0.5806451612903226,0,0,31,0,0,0,0,3.06,2.64,0,0,0.9499569499743297,0.5981830081457187,0
Jawad El Yamiq,7459,9.132306801001224,0.631578947368421,10.0,1.7199884130159127,95,1,1,0.0532,4.2910394933425415,5.72,4.4,5.4,7.11,0.9994085935560229,0.2850397790435685,9.882619026112195
Romain Saïss,5219,9.19447996124777,0.4117647058823529,0,2.528239496221022,17,0,0,0,0,0.0,5.07,0,0,0.890973263803744,0.5981830081457187,0
Azzedine Ounahi,46258,9.162568924229479,1.2125,5.0,2.1133960149832123,80,1,4,0.7248624999999999,4.865984059710136,5.2,1.04,0.0,7.34,0.999113077769006,0.7499343427843266,9.864230230969833
Sofiane Boufal,3625,9.174756419129677,1.65,4.5,2.271833448685806,20,2,1,0.42312291666666674,2.2959708812840196,7.57,2.44,6.76,5.0,0.9999114555427473,0.2876266948858185,4.925420850412868
Aurélien Djani Tchouaméni,10481,9.144914746741865,1.2222222222222223,10.0,1.8838917076442405,45,1,1,0.7731791666666665,3.7485907943442323,6.95,5.22,8.25,4.51,0.9998263634326313,0.2796034874204495,9.92657653333542
Antoine Griezmann,5487,9.23003831816955,1.8666666666666667,6.0,2.9904981362041236,30,1,0,0.04674999999999996,0,7.12,4.56,0.0,0,0.999880214860858,0.6089902709561654,0
Ousmane Dembélé,5477,9.280614612868636,0.8947368421052632,8.75,3.647989967292257,19,4,0,0.5093093750000001,0,0.0,0.0,7.35,0,0.9092768077241121,0.27423710694881176,0
Jules Koundé,4445,9.15699119370757,0.75,6.666666666666667,2.0408855181984307,48,3,1,0.26553611111111114,3.5961125401229626,0.0,8.45,6.23,6.81,0.8845828430732042,0.283971922966776,9.836842445991378
Noussair Mazraoui,15890,9.175790658234849,1.0454545454545454,3.6666666666666665,2.2852785570530507,22,3,0,0.4603430555555556,0,0.0,5.51,0.0,0,0.8898945661366108,0.6990300825806233,0
Hakim Ziyech,5237,9.207430817040494,1.2727272727272727,4.5,2.696600621526428,66,2,1,0.5260208333333334,2.401411660654837,5.18,5.84,9.78,8.76,0.999180092462426,0.17177652296680912,4.9477637112030175
Achraf Hakimi Mouh,5245,9.111230138799796,0.9444444444444444,7.8,1.4459918043973345,72,5,1,0.5128458333333333,3.597341809277827,5.07,0.47,7.67,8.48,0.9988674571679618,0.25904591116122555,9.832771105654366
Youssouf Fofana,11990,9.149623269883639,1.40625,7.0,1.945102508487301,32,4,2,0.5137041666666666,2.5167154103278486,0.0,5.02,6.4,7.73,0.8859974808795303,0.325598844632892,4.881536178029624
Theo Bernard François Hernández,6704,9.152790165120228,0.9705882352941176,6.5,1.9862721465629667,34,6,1,0.23821875000000003,10.0,5.26,5.26,6.55,9.09,0.9991354861688504,0.26262720366370906,9.966607609267932
Ibrahima Konaté,11135,9.165027867963282,0.6666666666666666,7.666666666666667,2.145362283522673,48,3,0,0.37909722222222225,0,5.02,5.02,6.87,0,0.9989266513443358,0.27341568023704155,0
Raphaël Varane,5485,9.21844478513421,0.5178571428571429,8.0,2.839782206744736,56,1,1,0.7001166666666666,2.696866366102341,5.47,1.53,0.0,9.92,0.9993713685409268,0.7454238017871426,4.8024105915156445
Kylian Mbappé Lottin,3009,9.108833871775689,2.6470588235294117,6.666666666666667,1.414840333083932,17,3,3,0.42350138888888894,4.294916628681114,8.03,3.05,7.99,8.91,0.9999372170659402,0.2282220257874259,9.796209819277577
Youssef En-Nesyri,6301,0,0.0,0.0,0,3,1,0,0.009299999999999987,0,6.2,3.86,7.38,0,0.9972980609467997,0.1878647898665894,0
Hugo Lloris,3099,9.426198890642493,0.5925925925925926,0,5.54058557835239,27,0,0,0,0,0.0,0.0,0,0,0.9308294063038224,0.5981830081457187,0
Olivier Giroud,3604,9.131064547951762,0.0,3.6666666666666665,1.7038391233729198,17,3,3,0.6422680555555554,3.70667364557181,4.6,6.68,7.82,6.38,0.9982274395701007,0.2760959102317565,8.1755954360883
