player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Andrej Kramarić,5460,1.8845535415426453,1.6944444444444444,6.0,1.8845535415426453,36,1,0,0.41054999999999997,0,6.78,6.78,8.83,0,0.9992313606840443,0.19095270605509052,0
Dejan Lovren,3471,2.983515488668103,0.4189189189189189,9.0,2.983515488668103,74,2,3,0.27232083333333335,3.103225667588411,6.39,6.11,6.67,6.03,0.9991822764898844,0.2631173328805896,7.442104773584255
Nicolás Hernán Otamendi,3090,0.8304439738435667,0.34146341463414637,5.333333333333333,0.8304439738435667,41,3,0,0.2679763888888889,0,8.49,8.49,6.33,0,0.999772302816161,0.2793201851387983,0
Marcelo Brozović,5469,1.91101433458251,0.66,6.0,1.91101433458251,50,1,0,0.7160125,0,8.09,1.09,7.03,0,0.9997709559147518,0.3335007894783739,0
Josip Juranović,29163,1.8521067364419321,0.734375,7.4,1.8521067364419321,64,5,0,0.30265333333333333,0,9.24,4.13,7.38,0,0.9999222113277295,0.23496116549284263,0
Borna Sosa,12625,2.0360613745586598,0.9411764705882353,5.0,2.0360613745586598,34,1,0,0.498475,0,7.5,1.7,0.0,0,0.9996193709784978,0.7067240999790309,0
Joško Gvardiol,33018,1.4821425666395236,0.6153846153846154,9.4,1.4821425666395236,65,5,0,0.14779,0,7.03,1.96,6.09,0,0.9992726872140014,0.26832837524829967,0
Dominik Livaković,16531,5.162403863224715,0.375,0,5.162403863224715,32,0,0,0,0,5.73,5.73,0,0,0.9992577874195355,0.5981830081457187,0
Alexis Mac Allister,27886,2.497169489624292,1.3235294117647058,7.666666666666667,2.497169489624292,34,3,2,0.46646527777777774,5.7969575729359075,7.18,7.18,10.0,9.37,0.9995649110437244,0.1562496974313723,7.3667439699502895
Luka Modrić,5463,2.112565335060026,0.8701298701298701,7.5,2.112565335060026,77,2,1,0.7884000000000001,3.6088673679335965,0.0,7.58,7.66,6.38,0.6781264872612548,0.3138549913512786,9.880546090541722
Nicolás Alejandro Tagliafico,5507,1.9859704728329477,0.9666666666666667,5.0,1.9859704728329477,30,1,0,0.4326916666666666,0,0.0,10.0,6.93,0,0.6697846735759861,0.28074113480681073,0
Cristian Gabriel Romero,20572,1.9796489903858419,0.8823529411764706,10.0,1.9796489903858419,34,3,0,0.16037500000000002,0,7.22,0.46,7.9,0,0.9994921683361088,0.19003301382300597,0
Rodrigo Javier De Paul,7797,2.8415597275708735,1.6428571428571428,9.0,2.8415597275708735,42,1,1,0.8944416666666667,3.6534117184528894,7.76,2.02,8.76,5.83,0.9997800657216138,0.2771685104434407,9.823582097695256
Damián Emiliano Martínez,6909,6.551547893157875,0.7083333333333334,0,6.661501023694728,24,0,0,0,0,0.0,10.0,0,0,0.9035878703698066,0.5981830081457187,0
Nahuel Molina Lucero,29201,1.5611085151802835,0.725,9.333333333333334,1.5611085151802835,40,3,0,0.3263375,0,9.81,9.81,8.26,0,0.9999501878326352,0.20089616555839673,0
Leandro Daniel Paredes,16308,2.152909850879788,1.0769230769230769,6.5,2.152909850879788,39,4,1,0.29227812500000006,6.467239040070783,7.94,1.01,7.71,6.98,0.9997607972984726,0.21854154132363457,9.922641089748135
Mateo Kovačić,5456,2.175007074982939,1.1123595505617978,8.333333333333334,2.175007074982939,89,3,0,0.21099305555555556,0,7.8,3.18,7.1,0,0.9997290928695998,0.23181543451911812,0
Ivan Perišić,5474,2.8084119562550227,1.0172413793103448,9.0,2.8084119562550227,58,3,3,0.4426277777777778,3.467137028774385,7.58,1.58,7.3,8.42,0.9997284571807894,0.2640579017030341,7.465519399614752
Enzo Fernandez,38718,1.728414563757917,1.0638297872340425,8.0,1.728414563757917,47,5,1,0.39548666666666665,6.957472690045178,7.59,7.59,7.36,7.12,0.999614973959313,0.25242116495784095,9.876387097481818
Lionel Andrés Messi Cuccittini,5503,2.1552224736692343,1.7317073170731707,8.0,2.1552224736692343,41,2,2,0.38946666666666674,9.384979675132602,7.06,5.67,6.9,7.74,0.9994631238913633,0.27389549809346747,9.877971795918466
Julián Álvarez,29560,3.6172238095998943,0.16666666666666666,4.0,3.6172238095998943,18,1,2,0.22935000000000008,10.0,0.0,7.06,8.49,0.0,0.7714251987859672,0.177596499616128,0
Mario Pašalić,11603,1.5406679156736593,1.1666666666666667,9.0,1.5406679156736593,12,1,1,0.6055833333333334,2.825071443154641,9.21,3.2,6.88,7.63,0.9999128859462534,0.3184150046626135,4.5162383700808615
Nikola Vlašić,3441,1.8085913066296904,0.9230769230769231,6.0,1.8085913066296904,13,3,1,0.34175694444444443,2.385,8.93,1.36,8.99,10.0,0.9998948304608384,0.17496217294829053,4.932928575822693
Bruno Petković,7693,1.3533822919811476,2.7,5.0,1.3533822919811476,10,1,0,0.18026250000000005,0,9.22,4.34,8.15,0,0.9999142636871844,0.18332878972861022,0
Mislav Oršić,16527,1.8369978815827834,1.9333333333333333,0,1.8369978815827834,15,0,2,0,2.9839614529075207,7.71,3.78,0,0.0,0.9996815220196211,0.5981830081457187,0
Lisandro Martínez,27768,2.3072031553215604,0.0,9.0,2.3072031553215604,9,1,0,0.38249999999999995,0,0.0,9.48,0.0,0,0.6837517257362675,0.6829736747742039,0
Marko Livaja,22041,2.3107790239692783,0.0,7.0,2.3107790239692783,5,1,0,0.367275,0,6.69,3.18,8.04,0,0.9992161497060765,0.2166360077890186,0
Paulo Bruno Exequiel Dybala,5743,1.8015621833845037,1.3,8.4,1.8015621833845037,10,5,0,0.3759275,0,10.0,1.52,8.94,0,0.9999626291456661,0.18165587333285993,0
Exequiel Alejandro Palacios,28268,1.5710450965968756,1.4,8.0,1.5710450965968756,15,1,0,0.424,0,0.0,9.47,9.29,0,0.6429160554274294,0.1754554223330601,0
Lovro Majer,28914,2.5194184602630947,1.5,0,2.5194184602630947,14,0,1,0,7.556314259156878,8.46,2.19,0,0.0,0.999873514153732,0.5981830081457187,0
Juan Marcos Foyth,21081,1.6926627174329294,0.5,0,1.6926627174329294,4,0,0,0,0,9.47,9.47,0,0,0.9999334097556666,0.5981830081457187,0
Ángel Martín Correa,6377,1.2345926722185574,2.5,9.0,1.2345926722185574,4,1,0,0.2386708333333334,0,9.48,9.48,0.0,0,0.9999297466895372,0.6521501167644228,0
