player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Memphis Depay,2988,2.0820094829160607,1.525,6.5,3.007347030878754,40,2,0,0.151375,0,8.57,8.57,0.0,0,0.9998852426309485,0.6327792652712732,0
Nathan Aké,3306,2.027308772081842,1.3866666666666667,8.666666666666666,2.9283348930071043,75,3,0,0.19643888888888883,0,9.39,4.55,7.43,0,0.9999459877176826,0.2148717493526483,0
Denzel Dumfries,8125,2.9792800732853086,0.5853658536585366,8.4,4.303404550301001,41,5,1,0.38261,2.5666479491221947,0.0,0.0,7.97,8.27,0.7718490909718784,0.22221284590592838,4.853025526235171
Marcos Javier Acuña,19597,1.3142858544424736,0.9230769230769231,9.166666666666666,1.8984129008613506,26,6,0,0.46827916666666675,0,0.0,8.65,10.0,0,0.6382032169743193,0.15648088924317405,0
Enzo Fernandez,38718,1.806971975505531,1.6,8.25,2.6100706312857667,70,4,3,0.33020937499999997,3.369293923219505,7.18,5.34,8.64,0.0,0.9995197111665467,0.18644280699926574,9.880574406141328
Nicolás Hernán Otamendi,3090,1.6582473428595434,1.793103448275862,6.8,2.3952461619082293,87,5,0,0.17999166666666666,0,6.85,3.73,7.19,0,0.9993079665149505,0.22255181433903126,0
Cristian Gabriel Romero,20572,1.458552808876574,0.9583333333333334,9.5,2.1067985017106072,48,2,0,0.4833791666666666,0,0.0,7.41,8.52,0,0.6517868181471762,0.2150281260840895,0
Nahuel Molina Lucero,29201,1.5098887276978061,1.1818181818181819,8.5,2.1809503844523865,44,4,1,0.33791875,10.0,7.47,1.68,8.78,8.95,0.9995819136496314,0.18222681008527764,9.982605730718431
Frenkie de Jong,8118,1.3764804874137517,1.4482758620689655,0,1.9882495929309747,87,0,0,0,0,7.09,7.09,0,0,0.9993741082777277,0.5981830081457187,0
Cody Mathès Gakpo,20750,2.726945551591279,1.2105263157894737,8.666666666666666,3.938921352298514,38,3,0,0.357725,0,0.0,8.06,6.8,0,0.758764623324405,0.2728389858014594,0
Virgil van Dijk,3669,2.166993510834312,1.2340425531914894,5.333333333333333,3.130101737871784,94,3,1,0.014827777777777754,6.239183359114639,7.91,0.48,9.9,5.0,0.9997891711476289,0.10934750531453918,9.69583212966403
