player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Michy Batshuayi Tunga,3457,9.063217311090549,1.9,9.5,0.9482596663582309,10,2,1,0.2139833333333333,8.557224896250286,10.0,4.38,0.0,5.0,0.9999892709468501,0.6467195901417637,9.749062672882197
Axel Witsel,5642,9.099319723779,0.4810126582278481,6.0,1.4897958566850238,79,4,0,0.3250104166666667,0,0.0,8.51,0.0,0,0.8734554796425087,0.6708263890898825,0
Toby Alderweireld,20005,9.126740592463676,0.83,9.5,1.9011088869551334,100,2,0,0.09921875000000002,0,8.26,1.01,0.0,0,0.9999492659142214,0.620993004963902,0
Amadou Onana,48347,9.156838805514933,0.18604651162790697,8.0,2.3525820827240014,43,3,2,0.5342722222222221,2.786765108623977,6.61,5.36,7.18,10.0,0.9997658815136218,0.28781574152949474,4.912568538400722
Jan Vertonghen,3077,9.153494971411401,0.5769230769230769,6.0,2.302424571171037,104,3,1,0.17799305555555556,2.665167205907187,5.88,5.88,0.0,4.27,0.9995349881256458,0.6387347677376707,4.954532808322972
Thomas Meunier,3176,9.152072482368782,0.2916666666666667,8.0,2.281087235531731,48,3,1,0.517525,7.728502696457686,7.57,2.13,7.52,2.45,0.9999056077525477,0.2672955685134397,9.689931886918036
Kevin De Bruyne,3089,9.172717370880552,0.9682539682539683,0,2.5907605632082684,63,0,3,0,3.11407699246082,8.58,8.58,0,4.97,0.9999667421607153,0.5981830081457187,8.254012043131846
Hakim Ziyech,5237,9.299384833114459,1.5666666666666667,5.0,4.490772496716871,30,5,2,0.2323775,4.689911895031091,7.09,5.87,0.0,2.31,0.9999013072743276,0.6507694532504514,7.430416026676381
Thibaut Courtois,3509,9.317765803198256,0.6944444444444444,0,4.766487047973831,36,0,0,0,0,2.54,2.54,0,0,0.9925388996969935,0.5981830081457187,0
Timothy Castagne,6989,9.101193632638116,0.26666666666666666,9.0,1.517904489571755,75,3,0,0.3805375,0,9.27,3.13,6.67,0,0.9999788692509283,0.2838853810775752,0
Thorgan Hazard,5632,9.126562021437092,1.1666666666666667,7.25,1.898430321556393,48,4,0,0.24606666666666668,0,8.95,1.12,8.78,0,0.9999741047901052,0.16937258739391792,0
Selim Amallah,23774,9.197384686646458,1.631578947368421,5.5,2.9607702996968452,19,2,1,0.49050000000000005,2.4890391404422445,7.94,0.42,0.0,3.68,0.9999440178742213,0.7051244896858057,4.956340689402249
Romain Saïss,5219,9.234998649169032,0.5897435897435898,7.25,3.5249797375354657,39,4,1,0.16071979166666664,10.0,7.38,5.59,7.59,3.69,0.9999086259994637,0.20247810407824818,9.980026773700683
Nayef Aguerd,12149,9.278073339005399,1.3333333333333333,10.0,4.1711000850809645,42,3,0,0.027220833333333347,0,7.75,7.75,7.57,0,0.9999440326377049,0.1832032297701407,0
Achraf Hakimi Mouh,5245,9.159013020574358,1.6842105263157894,6.75,2.385195308615359,38,4,1,0.28513124999999995,2.4166947625813737,8.07,3.03,0.0,2.56,0.9999458706737411,0.6622626738507869,4.915174206021114
Sofiane Boufal,3625,9.162466139432501,2.5,6.0,2.4369920914875527,22,1,1,0.6274041666666667,2.3267957219387267,6.56,0.59,8.25,3.62,0.9997817158815793,0.2521313660101352,4.8741053989876635
Sofyan Amrabat,5234,9.11558915651721,1.075,8.25,1.7338373477581377,40,4,0,0.22609062499999993,0,7.29,0.3,7.99,0,0.9998700411303193,0.196373486235347,0
Eden Hazard,3621,9.107606001905172,1.1666666666666667,5.0,1.6140900285776112,30,1,1,0.17257083333333326,7.596460942693047,7.13,1.6,8.01,2.59,0.9998463174038776,0.1875670416799866,9.772025974713333
Youssef En-Nesyri,6301,9.156319264206084,3.3333333333333335,6.5,2.344788963091278,6,2,0,0.33020416666666663,0,7.86,0.24,0.0,0,0.9999382016748862,0.6719335485576183,0
Azzedine Ounahi,46258,9.142696708564948,1.4,9.0,2.1404506284742246,30,2,1,0.3501395833333333,2.0265011556247225,6.7,6.27,7.47,0.0,0.999789483392248,0.23913273716802952,0
Noussair Mazraoui,15890,9.17065220457761,0.8387096774193549,7.333333333333333,2.5597830686641845,31,3,1,0.35456805555555554,2.0118881642243123,7.05,1.07,9.89,2.23,0.9998554396252712,0.14596175451357085,4.915582064669363
Munir Mohand Mohamedi,5233,9.364097483626619,0.8888888888888888,0,5.4614622543992875,27,0,0,0,0,5.85,5.85,0,0,0.9997161951287804,0.5981830081457187,0
Youri Tielemans,2954,9.172295696412979,0.4666666666666667,9.5,2.5844354461946786,30,2,0,0.1428875,0,8.51,6.01,0.0,0,0.9999635983185571,0.6308716228652638,0
Dries Mertens,5630,9.101602366011566,1.5,9.0,1.5240354901734774,18,2,1,0.39469375,6.911001045511208,0.0,4.69,7.89,4.9,0.8790249624576493,0.22778480797117073,9.877965350203922
Yahia Attiyat allah,31295,9.136804039929457,1.1666666666666667,0,2.0520605989418628,6,0,0,0,0,6.75,1.06,0,0,0.9997942570119562,0.5981830081457187,0
Abdelhamid Sabiri,3634,9.237214519321219,4.666666666666667,0,3.5582177898182907,6,0,0,0,0,7.02,7.02,0,0,0.9998933707627581,0.5981830081457187,0
Leandro Trossard,16559,9.114895257218963,0.8571428571428571,9.0,1.7234288582844643,14,1,0,0.6018083333333334,0,8.43,8.43,9.64,0,0.999955659135571,0.1877994295561991,0
Abderrazak Hamdallah,59493,9.097068166828532,2.0,6.0,1.4560225024279656,4,4,1,0.21686875,8.839095180473437,0.0,9.58,8.39,3.26,0.8802480049845199,0.1795459984275659,9.500064563836165
Zakaria Aboukhlal,21736,9.099536992916146,1.8,0.0,1.493054893742203,5,1,1,0.30079999999999996,10.0,9.58,5.87,10.0,2.05,0.9999852656456114,0.13628824086123748,9.975176689943904
Charles De Ketelaere,32688,9.052376294495515,0.0,7.0,0.7856444174327328,4,3,0,0.08873611111111113,0,4.69,7.07,7.84,0,0.9981081638783967,0.1818589795262321,0
Jawad El Yamiq,7459,0,0.0,0,0,2,0,0,0,0,7.76,2.28,0,0,0.9993881332659602,0.5981830081457187,0
