player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Aaron Ramsey,3517,2.3653725563150614,0.88,4.0,3.153830075086748,50,1,1,0.26541666666666663,3.9402712611238666,10.0,3.12,4.37,7.39,0.999971943784167,0.38854095001995137,9.655173908672728
Chris Mepham,4767,1.965022105842206,0.7540983606557377,7.0,2.6200294744562744,61,1,0,0.6039,0,2.54,0.5,3.91,0,0.9611945043382019,0.49755081458889683,0
Ramin Rezaeian,5235,2.5563199768811975,1.3617021276595744,6.777777777777778,3.408426635841596,47,9,2,0.41485879629629635,6.878861931612624,4.08,0.92,2.69,4.52,0.9928402433943027,0.5291722230003231,9.93687082344892
Ali Gholizadeh,23874,1.7895876474188825,1.9090909090909092,2.5,2.3861168632251766,33,2,1,0.3802416666666667,3.7918609351568837,8.73,2.7,2.73,7.17,0.9998878785222757,0.5183004460950746,9.853384384648992
Joe Rodon,11250,1.6587645262394604,0.9473684210526315,10.0,2.2116860349859473,57,5,0,0.10480916666666665,0,4.26,0.44,2.55,0,0.9913425406124858,0.4632517873987412,0
Saeid Ezatolahi Afagh,5722,2.5356767795776887,1.7307692307692308,7.166666666666667,3.380902372770252,26,6,1,0.17189166666666666,7.7489113744679,0.0,0.0,3.01,3.8,0.7409492830712525,0.4504003446784557,9.77829946465185
Ethan Ampadu,4934,2.0626407406398966,1.4264705882352942,8.0,2.7501876541865293,68,1,0,0.15537500000000004,0,2.88,0.33,1.56,0,0.9734414819001691,0.5380670239096451,0
Seyed Majid Hosseini,5228,1.192538956560467,1.4705882352941178,7.75,1.5900519420806227,34,4,0,0.16914999999999997,0,1.14,2.55,0.0,0,0.8335043057778186,0.6367608521740356,0
Mehdi Taremi,5226,1.918605979228355,2.8846153846153846,5.8,2.558141305637806,26,5,2,0.48910666666666663,4.223833296981713,1.86,2.22,4.0,5.0,0.9333524597912471,0.4641801833225865,9.772898947014713
Milad Mohammadi,5720,2.896954744901694,1.170731707317073,0.5,3.8626063265355923,41,4,0,0.45856354166666663,0,4.51,0.96,3.02,0,0.9957820325579461,0.5188396002213268,0
Morteza Pouraliganji,5220,1.8736700314740282,2.357142857142857,6.0,2.4982267086320373,28,1,1,0.10841249999999997,4.0370747692577575,3.69,1.35,2.99,4.43,0.9871706457951989,0.4365152785192703,9.930788296999967
Ben Davies,3086,2.0439500230935357,0.6794871794871795,3.5,2.725266697458047,78,2,1,0.5151979166666668,7.9517568503715195,0.55,2.5,2.82,4.17,0.792371295374191,0.5450808018081965,9.9055181291706
Ahmad Nourollahi,124167,2.460645596395413,1.1,8.25,3.2808607951938833,20,4,4,0.47157499999999997,4.235110957324367,3.86,3.86,2.45,6.6,0.990750156310184,0.5578548953196597,9.92959297663099
Connor Roberts,4774,1.554441546830951,1.2307692307692308,0,2.0725887291079346,39,0,0,0,0,2.7,2.7,0,0,0.9618031095572628,0.5981830081457187,0
Wayne Hennessey,3488,4.790265976347004,0.8823529411764706,0,6.387021301796005,34,0,0,0,0,0.76,0.21,0,0,0.9310206718333262,0.5981830081457187,0
Neco Williams,34794,1.993144857596649,1.1964285714285714,9.0,2.657526476795532,56,4,3,0.12680729166666668,3.1566837836982042,2.27,2.27,3.86,8.33,0.9517952973274121,0.3874393126724235,8.242505953339744
Kieffer Roberto Francisco Moore,3853,1.2133551866820853,3.3214285714285716,6.0,1.617806915576114,28,4,2,0.13808854166666665,5.9395152029822995,4.62,1.57,10.0,10.0,0.9934373539163261,0.11881720704257448,7.294383476427573
Harry Wilson,9540,1.6481844326141428,1.3703703703703705,0,2.1975792434855235,27,0,1,0,3.9711535585909816,3.97,3.97,0,7.91,0.988783926781049,0.5981830081457187,9.73478288413904
Seyed Hossein Hosseini,125823,4.238360983145062,0.75,0,5.651147977526749,28,0,0,0,0,0.82,2.74,0,0,0.9199699183860898,0.5981830081457187,0
Sardar Azmoun,5224,1.4339537314983921,1.3333333333333333,6.666666666666667,1.9119383086645227,15,3,4,0.3309402777777778,5.8830938249450675,6.68,6.68,2.03,7.95,0.9990696025297843,0.5505886829337941,8.586594979413677
Ehsan Hajsafi,5230,2.662608786495874,1.878787878787879,6.0,3.5501450486611654,33,3,1,0.25782083333333333,4.156243518543413,2.95,2.95,3.12,7.42,0.9805221478259686,0.46408358993039267,9.71664056976558
Gareth Frank Bale,6399,1.9792754455348798,1.36,4.75,2.6390339273798404,25,4,1,0.23876458333333334,6.780264254248817,3.05,0.5,4.93,6.9,0.9765369091876411,0.34951752357068677,9.865345913844628
Daniel James,11252,1.2006732068725168,3.3636363636363638,9.5,1.600897609163356,11,2,0,0.32000625,0,4.7,0.08,2.98,0,0.9938983879439953,0.4879173624396812,0
Brennan Johnson,29377,1.085100667434705,2.6666666666666665,6.0,1.4468008899129403,9,2,1,0.14011874999999996,4.319705945932203,7.19,1.42,5.0,6.56,0.9993838078296401,0.32426996102486905,9.5770075050953
Karim Ansarifard,5231,2.2842230842663236,6.75,2.0,3.045630779021765,4,1,1,0.3978999999999999,3.9575389695532976,2.47,2.47,3.68,3.66,0.9716723565651127,0.4624386434168769,9.830325102859689
Joe Allen,10931,0.7444380778432869,0.7777777777777778,0,0.9925841037910491,9,0,0,0,0,4.67,1.62,0,0,0.991616273492315,0.5981830081457187,0
Alireza Jahanbakhsh,5239,1.6864350007372264,4.5,6.0,2.2485800009829684,6,2,2,0.2227770833333333,3.6466642385382846,2.35,0.13,4.08,4.91,0.9564838314189102,0.3962457171325072,9.889279151009028
Roozbeh Cheshmi,5222,1.504536690111479,3.2,0,2.0060489201486384,5,0,1,0,10.0,4.56,4.56,0,4.43,0.9937496315377532,0.5981830081457187,9.990002111861212
