player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Aoba Fujino,401925,9.178259709336402,3.4761904761904763,0,2.852155349382434,21,0,2,0,6.379681672219067,8.73,8.73,0,4.29,0.9999752565710739,0.5981830081457187,7.380476807235692
Ayaka Yamashita,25627,9.3198179231625,0.7692307692307693,0,5.117086770600004,13,0,0,0,0,6.12,0.16,0,0,0.9997659123172884,0.5981830081457187,0
Cristín Yorleny Granados Gómez,401804,9.164832384432728,0.6086956521739131,9.0,2.637318150923615,23,1,0,0.38316249999999996,0,6.36,2.7,7.11,0,0.9997209704145282,0.26225645709282264,0
Katherine Maria Alvarado Aguilar,34480,9.151879815927154,1.4130434782608696,8.0,2.4300770548344426,46,2,0,0.26168958333333336,0,7.95,4.76,6.63,0,0.9999388925281287,0.26309175737106516,0
Mariana De Los Angeles Benavidez,34477,9.236277798828327,1.2179487179487178,9.5,3.78044478125325,78,2,1,0.0633625,4.2817208063712275,5.77,4.48,7.21,10.0,0.9996033077303356,0.20284384322231108,9.949175791357854
María Paula Elizondo,294448,9.16379359578755,1.25,0,2.620697532600763,48,0,0,0,0,7.24,1.3,0,0,0.9998825172724021,0.5981830081457187,0
Daniela Solera Vega,401802,9.413536695456823,1.1020408163265305,0,6.616587127309171,49,0,0,0,0,0.0,7.54,0,0,0.9415837445625984,0.5981830081457187,0
Gabriela Guillén Alvarez,34485,9.087328056975846,2.7142857142857144,8.0,1.3972489116135143,7,1,1,0.3187500000000001,3.388897892745466,7.36,0.93,8.32,2.12,0.9998806589838216,0.19730188180856512,9.931656092321855
Shiori Miyake,131814,9.205428317015253,1.2191780821917808,6.0,3.2868530722440346,73,1,1,0.3827833333333333,2.468695002846764,7.65,0.32,7.44,3.4,0.9999284703427884,0.246327728133515,4.9402354275395695
Risa Shimizu,25624,9.221165005712507,1.5818181818181818,9.0,3.538640091400097,55,1,1,0.6890666666666666,2.403060304553299,8.04,5.29,6.89,3.3,0.9999533974158494,0.3356057117980983,4.898447005429504
Saki Kumagai,15257,9.154481170779462,0.7872340425531915,9.0,2.471698732471417,47,3,1,0.14560277777777778,6.653068012898368,6.17,4.53,7.78,4.63,0.9996593348037238,0.19253082719263293,9.78332650650161
Hikaru Naomoto,401929,9.196798638881873,2.1818181818181817,8.5,3.1487782221099567,33,2,5,0.5741125,6.503595100797284,10.0,1.12,7.06,5.0,0.9999925479659905,0.30214538115856004,8.870093091874766
Hina Sugita,25635,9.183853520987817,1.7083333333333333,10.0,2.9416563358050736,72,2,0,0.5806333333333333,0,9.43,9.43,0.0,0,0.9999864497274352,0.722903100580041,0
Moeka Minami,25638,9.1740646774706,1.35,9.0,2.785034839529613,80,3,0,0.29488055555555553,0,4.03,5.97,7.24,0,0.9975750454107395,0.24002792704705733,0
María Paula Coto González,401803,9.157249966513659,1.0,9.5,2.5159994642185466,47,2,0,0.07093333333333335,0,8.22,8.22,6.92,0,0.9999525321815624,0.21622809183133906,0
Yui Hasegawa,25632,9.204019610571576,1.5454545454545454,9.5,3.2643137691452186,66,2,1,0.5436208333333334,5.473185191420658,7.11,7.11,7.23,2.46,0.9998816283017415,0.2870697133897929,9.796812720463496
Honoka Hayashi,131653,9.164460062269683,2.0851063829787235,9.0,2.63136099631495,47,2,2,0.40262499999999996,3.173146365182827,9.63,5.71,6.99,3.4,0.9999884292175284,0.27189115571588585,7.37455317330244
María Paula Salas,34478,9.13251231292623,0.6875,9.0,2.120197006819639,16,4,0,0.44598125000000005,0,9.25,5.08,10.0,0,0.9999807877463762,0.15365816429918955,0
Fabiola Villalobos Morales,401808,9.192856982152405,0.9620253164556962,8.5,3.08571171443846,79,2,0,0.13714583333333336,0,6.4,1.17,6.0,0,0.9997539629007062,0.27079561741848646,0
Mina Tanaka,85500,9.215405105170333,2.5,9.0,3.4464816827253535,24,1,4,0.170775,4.531776397446208,6.69,6.68,9.37,3.02,0.9998356375884174,0.1403492558037337,7.360344176610904
Melissa Herrera Monge,30958,9.113916498532475,1.8,9.5,1.8226639765195984,20,2,1,0.20034999999999997,4.1695633678600155,7.54,5.29,9.71,4.68,0.9999021548683895,0.1335409322472907,9.719896737829902
Priscila Chinchilla,34483,9.081532233822086,1.6,8.25,1.3045157411533919,15,8,0,0.2983614583333333,0,7.66,4.43,8.04,0,0.9999043220892896,0.20554960465817562,0
Gloriana Jesus Villalobos Vega,34486,9.120313633255655,1.9230769230769231,10.0,1.9250181320904614,13,1,2,0.18719999999999998,5.959864065627693,9.11,6.08,0.0,4.17,0.9999785722081587,0.6407849419443679,9.902505081673453
Riko Ueki,401930,9.17314828151894,1.7857142857142858,7.666666666666667,2.7703725043030394,14,6,3,0.054074999999999984,6.879076917608103,7.29,2.4,7.69,4.56,0.9998932438802751,0.18253476393184653,8.180704679567134
Hinata Miyazawa,401932,9.172730754893317,1.25,8.0,2.7636920782930656,20,1,2,0.7783458333333334,5.159981146638378,0.0,7.29,8.19,3.09,0.8974671672959951,0.2836907489572109,7.354295412101479
Raquel Rodriguez,4967,9.088107055081847,0.3,0,1.4097128813095567,10,0,0,0,0,6.02,1.17,0,0,0.9995238036616925,0.5981830081457187,0
Fuka Nagano,299860,9.278061124428369,1.0625,10.0,4.448977990853887,16,1,0,0.29110416666666666,0,7.55,7.55,6.58,0,0.9999342186738895,0.27113628921778365,0
Takako Seike,401928,9.256325860582576,4.0,6.0,4.101213769321231,7,1,1,0.38677500000000004,8.344705464275314,9.96,5.78,8.18,3.99,0.9999938759356349,0.2138239065688674,9.915528680425185
Sheika Daleicha Scott Richardson,401801,9.083044665549318,0.0,10.0,1.3287146487890822,5,1,1,0.21849999999999997,3.3568247202443677,5.62,5.97,6.88,3.73,0.9992841816765362,0.24322752954488758,9.905074206395458
