player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Rikke Marie Madsen,87191,9.106142308093498,0.6296296296296297,5.0,1.8044192375894463,27,3,1,0.24060555555555554,6.04797574697207,4.78,0.22,6.91,2.27,0.9985630895457849,0.2457680183981451,9.70900736198977
Karen Holmgaard,32230,9.14872425694543,0.6976744186046512,4.5,2.528312368072315,43,6,1,0.4083263888888889,2.2143435865468923,3.44,3.44,8.65,5.0,0.9954351839226662,0.19776057077054154,4.952756212706728
Kethna Louis,46847,9.134867912093501,0.86,5.833333333333333,2.2927545055895178,50,6,0,0.3414034722222223,0,2.99,2.99,0.0,0,0.9927932246428963,0.674314413771623,0
Janni Thomsen,87195,9.146838357303023,1.3859649122807018,9.5,2.496252074151365,57,2,0,0.5248124999999999,0,0.0,4.96,10.0,0,0.8938765537093987,0.1638267772546863,0
Rikke Læntver Sevecke,15789,9.206007768221124,0.859375,2.75,3.5021320597590995,64,4,0,0.2708010416666667,0,3.81,1.4,6.55,0,0.9972685234486633,0.26876902105715617,0
Dayana Pierre-Louis,402006,9.114610333315909,1.0555555555555556,9.0,1.9483756663704526,18,1,0,0.043333333333333335,0,2.47,1.64,7.61,0,0.9876734700592996,0.18401685636725662,0
Simone Boye-Sørensen,10111,9.16509490325464,1.4680851063829787,5.0,2.806613355328894,47,2,0,0.006237499999999992,0,3.21,0.11,7.58,0,0.994751664732623,0.1798147127771248,0
Pernille Mosegaard Harder,10108,9.16985099042996,0.8571428571428571,4.5,2.8874668373093413,35,6,2,0.28421041666666663,8.902320629691895,5.0,2.59,8.12,3.53,0.9990293498623134,0.2000605613879154,9.872908413502103
Katrine Veje,10088,9.123772335809374,0.9142857142857143,8.0,2.1041297087593422,70,2,0,0.3327729166666667,0,0.0,0.0,7.44,0,0.8856632418456257,0.23746741862445264,0
Kerly Théus,402008,9.277516683116929,0.3125,0,4.717783612987818,32,0,0,0,0,1.37,1.0,0,0,0.9768692573972428,0.5981830081457187,0
Batcheba Louis,46830,9.11762022887699,1.1666666666666667,6.571428571428571,1.9995438909088121,18,7,1,0.2700130952380952,7.499257906667627,4.12,4.12,9.51,10.0,0.9974519370894711,0.14779532525685235,9.91660040888271
Kathrine Møller Kühl,276443,9.132123341000808,1.048780487804878,6.5,2.246096797013722,41,4,0,0.26295625000000006,0,4.65,0.31,9.02,0,0.998512540673978,0.16320095316714855,0
Roseline Éloissaint,402013,9.12896091237409,1.3846153846153846,6.75,2.192335510359496,26,4,1,0.496659375,3.4731977862211485,3.21,0.87,0.0,1.86,0.9941928304252265,0.7063603718591607,9.848951843463325
Amalie Jørgensen Vangsgaard,224831,9.151787943938977,1.0857142857142856,6.0,2.580395046962601,35,6,2,0.35498749999999996,5.644307621365639,3.39,1.56,7.67,3.38,0.9953345828311879,0.230860970185355,7.294478160744804
Nicoline Sørensen,10274,9.202114938237306,1.0,7.0,3.435953950034197,29,1,0,0.34260416666666665,0,4.06,4.06,7.29,0,0.9978374434900349,0.2461799597058122,0
Melchie Daëlle Dumornay,142735,9.15146559446573,2.2903225806451615,4.5,2.5749151059174378,31,4,1,0.34219374999999996,4.207914146067486,7.59,3.02,0.0,3.52,0.9999189622900099,0.6744820816861469,9.670599342851995
Dougenie Tabita Kerbie Joseph,402001,9.108699208014718,0.4782608695652174,5.666666666666667,1.8478865362501826,23,3,1,0.2582194444444444,2.661212455955063,0.69,0.69,5.27,2.11,0.9336735595566569,0.33435495990320874,4.823569912185995
Sherly Jeudy,402012,9.163178651317693,1.4883720930232558,8.333333333333334,2.7740370724007843,43,3,1,0.19444999999999998,4.009684393741066,0.53,3.59,8.28,4.22,0.936146860237902,0.18046468099845503,9.757581063276614
Nérilia Mondesir,30970,9.172474801972509,1.2857142857142858,7.166666666666667,2.932071633532643,28,6,3,0.24750972222222223,4.847869311311707,0.0,0.53,0.0,3.11,0.8998874197284262,0.654084923370448,9.847057938455801
Betina Petit-Frère,402002,9.142447218487794,0.8571428571428571,8.5,2.4216027142925105,14,2,0,0.2170645833333333,0,2.67,2.67,7.17,0,0.9904426151956942,0.2297068546606602,0
Chelsea Ariane Surpris,53406,9.163542945972882,1.0,4.5,2.780230081538981,34,2,0,0.4007270833333333,0,2.34,1.66,6.27,0,0.98774937161725,0.30909311373561654,0
Lene Christensen,276442,9.28139517663345,0.9393939393939394,0,4.783718002768675,33,0,0,0,0,0.57,2.83,0,0,0.9534339389261995,0.5981830081457187,0
Mille Gejl Jensen,87187,9.119319693012487,2.1875,8.0,2.02843478121228,16,2,1,0.44904374999999996,8.51945955813426,3.32,0.12,7.12,3.29,0.9948196902004457,0.2742523038584521,9.643080791986039
Signe Kallesøe Bruun,24460,9.167311703567362,2.272727272727273,0,2.844298960645145,11,0,0,0,0,4.96,1.56,0,0,0.9990472954883625,0.5981830081457187,0
Roselord Borgella,53993,9.231172627398875,1.0,1.0,3.9299346657808703,9,1,1,0.07137499999999995,3.7985737642285318,0.0,0.69,8.4,3.6,0.9123197558998946,0.15942166512416311,9.888612192556488
Josefine Hasbo,32699,9.11050819525076,2.8333333333333335,0.0,1.8786393192629676,6,1,1,0.5231333333333333,4.04028650108483,2.41,2.55,7.89,4.77,0.9878147638135012,0.25034679430748785,9.820078547745187
Sanne Troelsgaard-Nielsen,10109,9.150098339304266,0.8571428571428571,0.0,2.551671768172534,7,1,1,0.43306666666666666,10.0,3.2,0.2,8.09,2.82,0.9943300455498508,0.225397237713569,9.984694051993896
Ruthny Mathurin,402003,9.224322486173762,0.09090909090909091,4.5,3.8134822649539513,11,4,0,0.08893645833333332,0,2.37,1.75,6.66,0,0.9894640126055626,0.23067928038764984,0
Luna Nørgaard Gewitz,38248,0,0.0,0,0,1,0,0,0,0,10.0,2.52,0,0,0.9999276555882531,0.5981830081457187,0
