player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Lina Magull,10259,1.1868689206222576,0.6551724137931034,6.0,1.7143662186765942,29,1,1,0.112,3.4878822797149684,0.0,10.0,5.0,3.42,0.6235210642698226,0.31834551307678005,9.80373846121991
Sara Däbritz,10263,0.9658433841603303,1.263157894736842,8.25,1.3951071104538106,57,4,1,0.11635520833333333,3.9132502587992026,3.65,0.86,2.46,5.0,0.9806082543635007,0.4717083522080848,9.905777406527847
Kathrin Julia Hendrich,10399,1.8419407659889102,0.5053763440860215,7.5,2.660581106428426,93,2,0,0.3158229166666667,0,0.74,3.73,2.46,0,0.8123700809625639,0.5198490886244452,0
Jule Brand,46987,1.4621914800517566,1.1142857142857143,6.0,2.11205436007476,35,2,0,0.15601250000000005,0,3.62,0.85,4.43,0,0.9834825886078412,0.36023006866146756,0
Manuela Vanegas Cataño,49945,1.2479043629104973,2.0,5.833333333333333,1.802528524204052,39,6,2,0.3727,6.911968325683047,0.0,3.63,2.13,7.34,0.6432427928555857,0.5542969769587982,9.96848288350116
Daniela Alexandra Árias Rojas,403277,1.5194942657260633,0.35714285714285715,8.2,2.1948250504932028,14,5,0,0.26901833333333336,0,3.11,0.19,3.91,0,0.9731249610494771,0.417423433608363,0
Lena Oberdorf,25478,1.6448626806574516,1.3285714285714285,5.833333333333333,2.3759127609496526,70,12,3,0.30982326388888887,3.628643995176858,4.86,4.86,0.0,10.0,0.9952820738680679,0.6675780546581682,8.180349765300681
Svenja Huth,10374,1.0653032151957398,1.0357142857142858,5.6,1.5387713108382906,56,5,0,0.6440049999999999,0,1.24,0.5,4.27,0,0.8395932587348116,0.4844281951731437,0
Catalina Pérez Jaramillo,46344,3.377516105835439,0.7368421052631579,0,4.878634375095634,19,0,0,0,0,0.56,1.33,0,0,0.8720150442039747,0.5981830081457187,0
Mayra Tatiana Ramírez Ramírez,53188,2.2694360075127813,0.5625,6.5,3.278074233074017,16,6,3,0.2925756944444444,3.6641285078915904,3.63,2.92,4.58,2.52,0.9878052936348704,0.38214743673885954,8.200779594615064
Lorena Bedoya Durango,49904,1.8513582792147758,1.0384615384615385,8.6,2.6741841810880094,26,5,2,0.12230166666666667,4.399254939595133,0.71,2.92,1.96,3.02,0.8122414219196612,0.5048018199513733,7.426288931670523
Linda Lizeth Caicedo Alegría,386339,0.731604238436223,1.76,8.0,1.056761677741211,25,2,1,0.35138125000000003,10.0,3.24,0.31,4.12,4.35,0.9695585746065261,0.4238434036893619,9.975090473605562
María Catalina Usme Pineda,403278,1.6350269411565594,2.1,6.5,2.361705581670586,40,2,0,0.46475208333333345,0,1.89,1.73,3.34,0,0.9276296879810987,0.5000633657288274,0
Carolina Arias Vidal,403283,1.6947910874409922,1.0576923076923077,7.2,2.4480315707481,52,5,0,0.4591833333333334,0,3.2,0.43,2.53,0,0.9776167950840834,0.5498854645500472,0
Jorelyn Andrea Daniela Carabalí Martínez,388473,2.920355242627402,2.5,8.333333333333334,4.218290906017359,16,3,0,0.13651944444444447,0,2.74,0.18,3.46,0,0.9800362603671614,0.4140361249196215,0
Daniela Montoya Quiróz,403282,1.324721647295091,0.9230769230769231,3.6666666666666665,1.9134868238706868,13,3,0,0.455225,0,4.01,0.38,3.58,0,0.9878101265934565,0.48255917750422783,0
Sara Doorsoun-Khajeh,10261,1.3475632470443757,1.9393939393939394,7.75,1.9464802457307648,33,4,0,0.17771875,0,2.93,2.96,3.05,0,0.9683265145920706,0.449284223065177,0
Merle Frohms,15443,3.589480638395353,1.0,0,5.184805366571065,32,0,0,0,0,0.0,2.59,0,0,0.814824644152033,0.5981830081457187,0
Alexandra Popp,15178,1.793688404923356,0.6744186046511628,5.0,2.590883251555958,43,6,6,0.1273708333333333,5.02103191055914,4.47,0.85,10.0,4.78,0.9933730437545172,0.11773726729777878,7.391013482647505
Chantal Hagel,46999,1.8562819320195925,1.6790123456790123,6.0,2.6812961240282998,81,2,1,0.6403604166666667,3.313983985841178,2.79,1.68,2.19,3.65,0.9700700340916859,0.6133583928055907,9.937107664530606
Lady Patricia Andrade Rodríguez,49888,1.0026304492647433,0.9,7.0,1.448243982271296,10,2,0,0.272925,0,2.15,1.48,0.88,0,0.9235513598134755,0.6079063521027235,0
Klara Bühl,25729,1.1368833705109571,1.1818181818181819,5.5,1.6421648685158265,44,4,2,0.671934375,3.6711174526406003,10.0,1.41,4.77,2.1,0.9999564785480699,0.4595704575912598,9.837729420728545
