player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Aoba Fujino,401925,2.1435196531381604,0.6666666666666666,0,2.1435196531381604,39,0,4,0,4.72081621300558,9.23,5.57,0,1.1,0.9999285360716781,0.5981830081457187,8.611430276132616
Ayaka Yamashita,25627,3.8633764942473303,0.5161290322580645,0,3.8633764942473303,31,0,0,0,0,0.0,10.0,0,0,0.7882428670867284,0.5981830081457187,0
Gun Nathalie Björn,26093,1.9430372924844859,0.9431818181818182,8.4,1.9430372924844859,88,5,2,0.5317525,4.092995794139758,8.01,5.97,0.0,3.94,0.9997585339658629,0.7133436694668669,9.886036990151444
Ingrid Filippa Angeldal,62666,1.7533815699988138,0.8507462686567164,9.0,1.7533815699988138,67,3,3,0.49759722222222225,7.425413503116759,8.58,8.58,7.93,3.62,0.9998499565677541,0.243870268990392,9.917790240781757
Hinata Miyazawa,401932,2.9970976349259137,1.1666666666666667,8.333333333333334,2.9970976349259137,24,3,0,0.4511416666666667,0,7.82,5.25,6.09,0,0.9997985399602072,0.32959399632224473,0
Yui Hasegawa,25632,2.527534254129325,0.527027027027027,6.0,2.527534254129325,74,5,2,0.2487691666666667,3.2170627382604406,0.0,6.18,6.24,3.16,0.7044164442507204,0.28017792186631374,7.330133043561137
Mina Tanaka,85500,4.087631377416181,0.0,9.0,4.218462162786063,11,1,0,0.8748333333333334,0,0.0,7.82,8.36,0,0.7998773317854168,0.2939874294211957,0
Elin Ingrid Johanna Rubensson,10221,3.0661096141763067,0.8043478260869565,9.0,3.0661096141763067,46,2,0,0.2134666666666667,0,8.1,2.26,6.47,0,0.9998467718736428,0.26192378895599777,0
Johanna Rytting-Kaneryd,62710,1.7468255423825052,1.21875,7.666666666666667,1.7468255423825052,32,3,2,0.3213013888888889,5.279142900739624,6.52,6.3,7.59,3.67,0.9989467289508916,0.22868989332866696,7.314733817286014
Hina Sugita,25635,1.3302677843340704,0.6521739130434783,2.0,1.3302677843340704,23,1,0,0.04328333333333329,0,7.46,5.17,0.0,0,0.9994928960532332,0.608192395321127,0
Magdalena Lilly Eriksson,4633,2.5887245010273183,0.8395061728395061,0.0,2.5887245010273183,81,2,4,0.5711333333333333,4.061015436233125,6.79,6.79,7.88,8.63,0.9993746137429972,0.2596379864053461,8.646258144764063
Jonna Ann-Charlotte Andersson,10222,2.084368998346326,0.9622641509433962,9.5,2.084368998346326,53,2,0,0.620575,0,7.77,7.77,7.38,0,0.9997107170638122,0.29456178061934835,0
