player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Lindsey Michelle Horan,4999,1.7738982008884174,1.7761194029850746,5.375,2.168097801085844,67,8,5,0.252040625,5.979794946692596,5.0,5.0,8.59,4.57,0.9959231286751696,0.17709661804121102,8.820807151350454
Emily Ann Sonnett,5003,1.702274043002319,1.565217391304348,7.4,2.0805571636695017,69,5,1,0.4311008333333334,2.336179241059757,4.83,1.85,2.71,8.67,0.9950355188311247,0.5318181017932034,4.890829862774916
Andi Sullivan,4940,2.3521273143486137,2.1587301587301586,8.0,2.8748222730927497,63,13,3,0.2520375,4.811000789862835,3.42,3.18,3.15,0.0,0.9855360203061009,0.4608039959682777,4.931071034563467
Zecira Musovic,62713,3.811576700930952,1.0526315789473684,0,4.658593745582274,38,0,0,0,0,9.95,0.86,0,0,0.9999821483021961,0.5981830081457187,0
Gun Nathalie Björn,26093,1.4733321026449413,1.5128205128205128,8.6,1.800739236566039,78,5,1,0.2797558333333333,2.6429873951805063,1.99,6.72,3.01,4.69,0.9245880970949273,0.4763090245973157,4.792140809261825
Naomi Haile Girma,219423,2.274827436819421,1.1428571428571428,6.25,2.780344645001515,98,4,0,0.17714687499999998,0,4.68,3.06,1.97,0,0.9952682056002845,0.5174090375521931,0
Magdalena Lilly Eriksson,4633,2.7406570125474894,1.162162162162162,8.25,3.3496919042247093,37,4,1,0.014622916666666666,10.0,2.85,0.02,7.49,4.55,0.9775973244535132,0.18441961097390913,9.958428161852366
Johanna Rytting-Kaneryd,62710,1.480598213691513,2.272727272727273,8.0,1.8096200389562938,22,3,0,0.2450361111111111,0,7.05,2.12,3.4,0,0.9993689229340271,0.443431699373546,0
Ingrid Filippa Angeldal,62666,2.091604385357571,1.763157894736842,7.833333333333333,2.556405359881476,38,6,2,0.5407986111111112,3.755652786139212,3.79,4.29,3.27,7.26,0.9885789652616672,0.5228527215221079,9.911319230409461
Kosovare Asllani,10220,3.0218431433942827,2.75,4.666666666666667,3.693363841926346,20,6,0,0.3493965277777778,0,4.14,0.35,3.95,0,0.9944063503013361,0.43392912550055684,0
Emily Ann Fox,107491,1.5506905622640283,1.9727272727272727,10.0,1.8952884649893684,110,4,0,0.32105104166666665,0,2.22,2.78,6.97,0,0.9412970487870922,0.2575397066379381,0
Elin Ingrid Johanna Rubensson,10221,1.8484241599456344,1.0666666666666667,5.0,2.259185084377998,45,3,3,0.6162527777777779,5.945810749725385,9.4,4.85,8.1,4.87,0.9999380265445811,0.2573043779116977,9.93921378543814
