player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Marta Vieira da Silva Veiga,5082,2.182544046964143,1.0,5.75,2.9100587292855233,44,4,2,0.3083395833333334,6.384436637300027,2.52,2.52,2.68,3.96,0.96391350612806,0.5041093338267135,9.79311574848477
Rafaelle Leone Carvalho Souza,131570,2.322598045510733,1.4842105263157894,6.333333333333333,3.096797394014309,95,3,0,0.15365138888888888,0,0.0,3.32,2.48,0,0.7227307646812833,0.47943110781269627,0
Deneisha Selena Blackwood,25557,2.0919057632499842,0.3055555555555556,4.0,2.789207684333312,36,1,0,0.06489999999999999,0,2.2,0.44,3.37,0,0.948532424752723,0.4028296567852454,0
Antonia Ronnycleide da Costa Silva,50003,1.8829169952571287,1.2307692307692308,5.2,2.5105559936761717,78,5,1,0.34329916666666666,3.8431724415454136,1.89,0.71,3.38,2.84,0.9295533574756228,0.46823425567120636,9.816690111059126
Vyan Sampson,21014,1.0376336482197577,0.13043478260869565,5.0,1.383511530959677,23,2,0,0.22342916666666668,0,2.77,0.13,2.12,0,0.954564530625082,0.5190800457011066,0
Drew Spence,4638,1.5172490304263537,0.8275862068965517,6.5,2.0229987072351383,29,4,0,0.24508958333333328,0,2.65,2.65,3.06,0,0.9587496506811509,0.464807178923463,0
Kathellen Sousa Feitoza,25556,2.070689725393303,0.7323943661971831,5.0,2.760919633857737,71,3,0,0.4332888888888889,0,3.32,0.23,9.93,0,0.9818868594837304,0.15437239123786117,0
Ariadina Alves Borges,389488,1.407801053034046,0.6486486486486487,4.0,1.877068070712061,37,1,2,0.05591666666666674,2.5227567313538435,2.04,2.04,3.74,5.0,0.925141385454457,0.37844272633810394,4.964555353003241
Kerolin Nicoli Israel Ferraz,105708,1.913390399815414,1.4788732394366197,6.333333333333333,2.5511871997538846,71,3,1,0.2160416666666667,4.090535872065313,3.0,2.0,2.51,3.07,0.9749370188962102,0.4925891573320008,9.810943089375886
Adriana Leal da Silva,389489,1.6778055747284972,1.7906976744186047,5.5,2.2370740996379967,43,2,1,0.6505791666666666,7.206776056238956,3.48,1.52,0.0,4.03,0.9827449254090642,0.7362347640166751,9.871628079966953
Tamires Cássia Dias de Britto,25559,1.8287098422243064,0.8173076923076923,7.6,2.438279789632409,104,5,2,0.22440916666666663,8.440220086073257,0.0,0.0,4.32,4.56,0.6766712106921029,0.382158652266694,9.782701068453898
Chantelle Swaby,25558,4.546694907798787,0.8636363636363636,8.75,6.06225987706505,22,4,0,0.18933125,0,2.22,0.29,0.66,0,0.9801622227385168,0.601932051898005,0
Débora Cristiane de Oliveira,5044,1.068825647666803,1.5454545454545454,0.0,1.4251008635557374,33,1,3,0.7783249999999998,7.071955035671969,3.28,0.28,9.33,0.0,0.9735795571416618,0.2287756681644132,9.763229364249673
Khadija Monifa Shaw,25554,1.5855287529903095,0.0,6.3076923076923075,2.114038337320413,13,13,2,0.33789519230769227,2.155315069571601,4.89,0.24,2.76,2.85,0.9948854909490312,0.5061782692320724,4.956377059257511
