player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Jacqueline Anne Hand,392266,2.7492612192825527,0.5384615384615384,8.75,4.276628563328415,26,4,2,0.37621875,5.810146793204473,8.58,5.95,8.83,4.32,0.99991305715443,0.18588060944925366,9.789568461712301
Malia Grace Steinmetz,401642,1.8029300345985024,0.9047619047619048,3.9,2.8045578315976707,42,10,2,0.2964808333333333,5.9594133287305135,7.57,6.25,9.43,3.33,0.9996677642281403,0.153664367323481,9.980314134863685
Alexandra Riley,21062,2.1133359310109916,0.974025974025974,6.0,3.28741144823932,77,4,0,0.40964895833333337,0,6.07,6.8,8.02,0,0.9987849007240694,0.22454615703623637,0
Katie Bowen,5028,2.3199564609268832,0.8191489361702128,5.4,3.6088211614418184,94,5,2,0.5099916666666667,3.911315428342053,9.46,8.22,8.55,1.37,0.9999556290160959,0.2181003632779024,9.943750768365165
Rebekah Ashley Stott,4989,1.456295589215914,0.18518518518518517,2.0,2.265348694335866,54,5,1,0.2504075,3.911962776372058,0.0,8.81,0.0,3.91,0.649138060472193,0.6547181339138433,9.810503223113544
Nadine Riesen,276579,1.404725108578251,0.44285714285714284,6.428571428571429,2.1851279466772797,70,7,0,0.4741892857142857,0,8.5,6.51,6.21,0,0.9998349761587234,0.327795358808999,0
Gaëlle Thalmann,10400,3.6503171057628934,0.5777777777777777,0,5.678271053408945,45,0,0,0,0,9.33,9.33,0,0,0.9999708349971137,0.5981830081457187,0
Catherine Joan Bott,25662,1.8801214186320376,0.8108108108108109,3.5714285714285716,2.9246333178720585,74,7,1,0.3807785714285714,4.4419229443885015,0.0,8.58,5.98,5.0,0.6942443072259601,0.32079477393292066,9.869253192645314
Hannah Wilkinson,25658,1.1016953184535347,0.14285714285714285,5.0,1.7137482731499432,14,4,0,0.13117291666666664,0,10.0,6.35,8.88,0,0.9999545824350478,0.15104341607835392,0
Géraldine Reuteler,10419,1.3082374602093414,0.5263157894736842,4.5,2.0350360492145305,38,2,0,0.31228333333333336,0,8.11,5.33,6.81,0,0.9997517865966083,0.26372304920428824,0
Ria Percival,18145,1.8363229092280784,1.1,2.625,2.8565023032436776,30,8,0,0.3791385416666666,0,7.64,5.01,9.21,0,0.999696180760288,0.1721435082431806,0
Annalie Longo,25660,1.8374419233284294,0.3,8.333333333333334,2.858242991844224,20,3,2,0.7303194444444445,3.4768650428590107,8.81,6.18,0.0,4.81,0.9998967978980081,0.750921806002731,7.373493108188788
Olivia Chance,24925,2.4102048562928413,2.25,10.0,3.749207554233309,12,1,0,0.47437500000000005,0,7.41,7.52,10.0,0,0.9997171780826779,0.157259884244344,0
Eseosa Aigbogun,10407,1.8967226239260857,0.6226415094339622,7.166666666666667,2.9504574149961327,53,6,0,0.28581249999999997,0,6.71,6.24,9.09,0,0.9992656590807022,0.16379434118170977,0
Seraina Piubel,32105,1.3986517886082175,1.1428571428571428,2.7142857142857144,2.1756805600572267,28,7,1,0.47327023809523805,6.977666464468225,8.05,2.95,0.0,2.81,0.999753818302421,0.7016513175291714,9.845603871646677
Ana-Maria Crnogorčević,10408,1.7333070542080018,0.6304347826086957,5.25,2.696255417656892,46,4,0,0.5785,0,7.23,7.23,7.19,0,0.999521232656518,0.2961251711451257,0
Ramona Bachmann,4659,1.832393372908393,0.8372093023255814,6.333333333333333,2.8503896911908337,43,3,1,0.3091944444444445,3.934812223126833,7.71,5.5,6.97,3.43,0.999711938523259,0.2553552915169708,9.834931267998591
Lia Wälti,10405,2.013662118352891,0.24074074074074073,5.0,3.132363295215608,54,5,0,0.2846266666666667,0,7.14,5.81,5.88,0,0.9995276482757951,0.3062576887039903,0
Julia Stierli,32101,2.0581383992772637,0.864406779661017,4.333333333333333,3.2015486210979662,59,3,0,0.04829027777777778,0,5.68,7.28,7.26,0,0.9981887965456704,0.19847517210472632,0
Noelle Maritz,10404,2.2718939950397603,0.3469387755102041,0,3.534057325617405,49,0,0,0,0,7.12,1.79,0,0,0.9995697202852218,0.5981830081457187,0
Coumba Sow,31630,1.8261282016112639,0.7380952380952381,8.333333333333334,2.840643869173077,42,3,1,0.25426944444444444,7.719561445686378,8.01,6.02,7.43,2.75,0.9997820435616198,0.22444819436557806,9.872912764811769
