player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Lauren James,31531,2.160936614383434,1.76,7.25,2.6411447509130856,25,4,3,0.21635000000000004,3.0086890295735427,6.19,5.0,5.27,7.5,0.9988585228101291,0.3254125339487366,6.597193443248384
Keira Walsh,4658,2.011488061001501,1.2222222222222223,8.2,2.4584854078907235,63,5,0,0.2173775,0,0.0,8.25,9.24,0,0.6886173308786617,0.1500243791070741,0
Jessica Carter,19422,1.996694369343446,1.2361111111111112,8.333333333333334,2.440404229197545,72,6,0,0.49676041666666665,0,0.0,8.57,8.42,0,0.6875855407509499,0.22155972377571764,0
Millie Bright,4642,2.6058257374265477,0.7647058823529411,8.222222222222221,3.1848981235213363,51,9,0,0.08909768518518518,0,6.95,6.95,7.43,0,0.9995084517979036,0.19789247908686902,0
Alessia Russo,47521,1.8203485166845617,1.6666666666666667,7.666666666666667,2.224870409281131,30,6,4,0.47555694444444446,5.5338866871718295,9.02,9.02,8.88,8.75,0.999912443651385,0.1988182267609433,8.546125978147247
Alex Greenwood,10252,2.1384680686643374,2.189189189189189,2.25,2.6136831950341906,74,4,1,0.5097552083333333,10.0,9.89,3.18,7.07,5.0,0.9999668001669352,0.288676729491801,9.958428161852366
Rachel Daly,5058,1.6431458050618843,0.9558823529411765,9.2,2.0082893172978586,68,5,4,0.28413666666666665,7.702203684755713,9.84,3.4,9.41,3.11,0.999955849862254,0.1527747281062095,8.667999553822554
Halimatu Ibrahim Ayinde,25469,1.6802090234761746,1.5263157894736843,5.5,2.0535888064708803,19,2,1,0.2933666666666667,2.160803956158038,5.63,3.38,0.0,7.5,0.9976555010177791,0.6640401316157716,4.987785051514802
Uchenna Kanu,25461,2.1076303618534316,3.35,6.666666666666667,2.575992664487528,20,9,4,0.4485393518518519,3.9538845177019164,9.25,9.25,7.77,10.0,0.9999413385260835,0.2426112528676232,8.644004645418619
Michelle Alozie,106836,2.10536130221435,1.9534883720930232,6.777777777777778,2.5732193693730943,43,9,3,0.37683194444444434,3.2120302284136635,8.46,3.95,7.58,4.01,0.9998672362341018,0.2387517928412698,6.517499593402756
Lauren Hemp,15555,2.410823098776514,1.1818181818181819,8.0,2.946561565171294,22,2,1,0.20066250000000005,4.10834423682679,8.54,0.24,10.0,7.66,0.9998861512208873,0.1252945437824693,9.77705925250902
