player_name,player_id,avg_packing,avg_passes_until_shot_pass,avg_passes_until_shot_duel,avg_area_rating,total_passes,total_duels,total_shots,avg_duel_area_rating,avg_shot_accuracy,avg_pressure_pass,overplayed_pressure,avg_pressure_duel,avg_pressure_shot,expected_pass_success,expected_duel_success,expected_goal_success
Sarina Isabel Calpo Bolden,401733,9.15428282408652,0.5294117647058824,7.75,2.314242361297792,17,4,1,0.39007187499999996,10.0,3.76,3.76,7.6,10.0,0.9965001836785748,0.24015816833733394,9.995574745362392
Jaclyn Katrina Demis Sawicki,401732,9.114051539629719,0.38235294117647056,9.0,1.7107730944457742,34,1,0,0.3528333333333333,0,0.0,3.14,6.53,0,0.8768566856127376,0.2856619005432547,0
Alicia Balicoco Barker,401741,9.161110279932261,0.5,8.0,2.4166541989839185,30,2,0,0.3799583333333334,0,4.32,0.56,7.25,0,0.9979759018412733,0.25485971268514707,0
Quinley Mirielle Campomanes Quezada-Keča,401745,9.146356381761835,0.47368421052631576,1.0,2.1953457264275205,19,1,0,0.5017333333333334,0,2.09,0.49,7.95,0,0.9826679504594491,0.24367233772654195,0
Elizabeth Doon Hassett,25663,9.176641793597607,1.3076923076923077,4.5,2.6496269039641156,26,2,1,0.33918750000000003,4.139985465239104,3.13,0.88,7.47,3.45,0.9941758870124516,0.23721269636211328,9.958243052678922
Hali Moriah Candido Long,401737,9.152019151128972,1.7894736842105263,9.0,2.280287266934573,19,2,0,0.18583749999999996,0,3.29,0.49,8.77,0,0.9948041091892821,0.16168569390493526,0
Malia Grace Steinmetz,401642,9.17913491810395,1.4473684210526316,6.5,2.6870237715592538,38,6,1,0.29083194444444443,4.268751068376849,2.52,5.51,7.82,4.42,0.9897547069095329,0.2135819073735049,9.941214339622839
Ria Percival,18145,9.11411188975676,1.4166666666666667,5.0,1.7116783463514,48,2,2,0.18204166666666668,5.246222491595425,4.18,0.53,7.27,0.91,0.9975147571682176,0.21940170668782866,9.900847416741332
Hannah Wilkinson,25658,9.258665325401456,0.8421052631578947,6.625,3.879979881021847,19,8,5,0.29471614583333333,4.215481086652145,10.0,1.53,9.05,0.0,0.9999929808964723,0.1663776524551972,6.151546280761696
Alexandra Riley,21062,9.197858091959704,1.280373831775701,6.0,2.9678713793955622,107,3,0,0.682698611111111,0,4.0,3.81,8.19,0,0.9975746834660668,0.26529208445030816,0
Katie Bowen,5028,9.16594600996584,1.1506849315068493,6.5,2.4891901494876043,73,2,1,0.16224791666666669,2.5135465078756245,0.0,2.24,8.23,2.48,0.8931066178628673,0.17775370556497372,4.9263275179256985
Victoria Esson,214481,0,0.6538461538461539,0,0,26,0,0,0,0,0.43,3.57,0,0,0.6081124971363847,0.5981830081457187,0
Jacqueline Anne Hand,392266,9.133947482329397,0.7045454545454546,5.6,2.009212234940931,44,5,2,0.28267166666666665,4.226235351210723,7.27,7.27,7.35,2.99,0.9998711524959584,0.2328643344163207,9.707363751666772
Sara Kristine Bantan Eggesvik,401748,9.238075023006147,1.6428571428571428,4.333333333333333,3.5711253450921965,14,3,0,0.4764444444444444,0,1.59,1.59,8.41,0,0.9788572864091842,0.2186254914960042,0
Catherine Joan Bott,25662,9.180218334958598,1.303370786516854,3.0,2.703275024378977,89,5,3,0.40052999999999994,4.4477372089659735,2.24,6.02,6.58,2.45,0.9866107425815738,0.2925279482976595,9.911840536165768
Rebekah Ashley Stott,4989,9.207799605838305,1.28,10.0,3.1169940875745743,50,1,0,0.0006499999999999961,0,2.08,4.2,7.23,0,0.9854114878515885,0.1924331573599446,0
Angela Beard,401731,9.350384357803753,2.2666666666666666,10.0,5.2557653670562825,15,4,0,0.08809583333333333,0,3.82,0.7,0.0,0,0.9980932111448523,0.6184603236355718,0
Indiah-Paige Janita Riley,66217,9.195460969123884,1.6666666666666667,6.0,2.9319145368582618,24,2,1,0.19619999999999999,2.822822123277199,4.85,2.33,8.12,5.0,0.9989324811395098,0.18679802461938266,4.907819563805186
Olivia Alexandra Davies Isip McDaniel,401735,9.370636575074258,0.9,0,5.559548626113864,40,0,0,0,0,0.0,0.0,0,0,0.9312364284174622,0.5981830081457187,0
Jessika Rebecca Macayan Cowart,389446,9.121581094371711,1.5,4.25,1.8237164155756838,20,4,0,0.2482354166666667,0,3.67,0.69,9.84,0,0.9960514390683448,0.13508874886046596,0
Katrina Jacqueline Rivera Guillou,225115,9.167508126975946,0.8333333333333334,5.5,2.512621904639189,18,8,2,0.48834374999999997,2.2872985516074924,2.98,0.26,7.58,1.98,0.992990795100804,0.2588810845703541,4.8968176164742045
Sofia Nicole Dador Harrison,324160,9.164007965944414,0.5806451612903226,5.4,2.460119489166205,31,5,0,0.5354858333333333,0,3.56,1.44,6.87,0,0.9958753735587903,0.3044367527866624,0
Annalie Longo,25660,9.165616415066072,1.0357142857142858,6.0,2.4842462259911016,28,1,0,0.25,0,3.04,3.04,7.45,0,0.9934077110423541,0.22285164226465848,0
Olivia Chance,24925,9.259964967883056,2.1538461538461537,10.0,3.899474518245834,26,1,1,0.4726458333333333,2.265300061249492,4.71,2.63,0.0,3.56,0.9989785891500884,0.7015250093328007,4.897782516074945
Isabella Victoria Sola Flanigan,401742,9.121228032890718,1.6,7.0,1.8184204933607662,5,3,0,0.0634916666666667,0,5.0,5.0,10.0,0,0.9988898143335762,0.11147580054363104,0
Tahnai Lauren Rivera Annis,401744,9.164777605363028,0.5,6.0,2.4716640804454326,10,2,0,0.20153125000000005,0,3.14,3.14,8.81,0,0.9938458043892635,0.16236772703796876,0
Dominique Jaylin Abrena Randle,401739,9.246317963100122,0.6153846153846154,0,3.694769446501818,13,0,0,0,0,3.12,3.12,0,0,0.9948697613728991,0.5981830081457187,0
Carleigh Bennett Frilles,401740,9.208432948103535,5.0,0,3.1264942215530307,3,0,1,0,3.561163664623387,3.24,1.76,0,1.52,0.9958796905852348,0.5981830081457187,9.76334796634265
